siteId,ProductId
RH,prod20480221
RH,prod17290592
RH,prod14880046
RH,prod17310073
RH,prod9300292
RH,prod10810137
RH,prod2990704
RH,prod25210393
RH,prod6520427
RH,prod9340023
RH,prod17450496
RH,prod8550692
RH,prod17400107
RH,prod19550170
RH,prod20480455
RH,prod20290148
RH,prod20670332
RH,prod25120409
RH,prod2330022
CO,prod27080293
RH,prod20530132
RH,prod18950568
RH,prod19230227
RH,prod25120597
RH,prod1870701
BC,rhbc_prod962562
RH,prod9580053
RH,prod7650104
RH,prod15690042
RH,prod18910068
RH,prod7920291
RH,prod2110096
RH,prod25120614
RH,prod7690230
RH,prod2701362
RH,prod23320052
RH,prod10810148
RH,prod1159297
RH,prod19220354
RH,prod1157672
RH,prod16030107
RH,prod2090051
MO,prod8910675
RH,prod10720078
RH,prod25180781
RH,prod17470742
RH,prod17450480
RH,prod26600091
RH,prod20700073
RH,prod13800575
RH,prod14890226
TN,rhtn_prod106582
RH,prod24950481
RH,prod18860180
RH,prod13800581
RH,prod6452432
RH,prod25210392
RH,prod16700135
RH,prod1289003
RH,prod2460587
RH,prod11600092
RH,prod20361048
RH,prod15020052
RH,prod6250009
RH,prod26350143
RH,prod16540250
RH,prod1283044
BC,rhbc_prod963590
RH,prod16030180
RH,prod20490141
RH,prod9300472
RH,prod25380122
RH,prod26380023
RH,prod1160698
RH,prod25140033
RH,prod24950506
RH,prod14070073
RH,prod17980060
RH,prod20530098
RH,prod14970301
RH,prod1700125
RH,prod21890328
RH,prod16840028
TN,rhtn_prod104271
RH,prod7880584
RH,prod9390043
RH,prod25210351
RH,prod11820020
RH,prod25140414
RH,prod9090254
RH,prod1283097
RH,prod27560179
RH,prod22350047
RH,prod23530359
RH,prod1283113
RH,prod10310345
RH,prod7310004
RH,prod14880286
RH,prod14890171
RH,prod2360127
RH,prod21350039
RH,prod10920010
RH,prod23170185
RH,prod20950316
RH,prod7380015
RH,prod18940467
RH,prod20720056
RH,prod14880372
RH,prod24880426
RH,prod7450324
RH,prod12740193
RH,prod24950497
RH,prod17430401
RH,prod16210037
RH,prod2110092
RH,prod15500274
BC,rhbc_prod962688
RH,prod1283109
RH,prod19230205
RH,prod1557039
RH,prod17491059
RH,prod17380294
RH,prod25210395
RH,prod7750081
RH,prod20440077
RH,prod18950256
RH,prod3070506
RH,prod23530368
RH,prod17810181
RH,prod9260045
RH,prod15050014
RH,prod21930041
RH,prod9400072
RH,prod8900527
RH,prod7410369
RH,prod24920117
RH,prod14280116
RH,prod24980147
RH,prod20530089
RH,prod7920313
RH,prod18940011
RH,prod25120607
RH,prod1166003
RH,prod13890104
RH,prod24870077
RH,prod13370987
RH,prod19660022
RH,prod19230226
RH,prod17740350
RH,prod28220015
RH,prod22350053
RH,prod19040773
RH,prod2480064
RH,prod1283091
RH,prod21150077
RH,prod9300172
RH,prod7000019
RH,prod2410017
